candidate_id,source,title,composer_normalized,grade,grade_source,midi_min,midi_max,midi_range,midi_median,key_fifths,key_changes,tempo_bpm,time_sig,meter_changes,smallest_division,dotted_count,tied_count,tuplet_count,max_chord_stack,polyphonic_measure_ratio,voice_count_max,ornament_mordent,ornament_trill,ornament_turn,grace_count,harmonic_count,barre_count,position_shift_proxy,measure_count,note_count,duration_sec_approx
guitarloot:Scores/EnglishMusic/Bacheler/jeunefillettegtrEf,guitarloot,La Jeune Fillette,Daniel Bacheler,7,delcamp-eric-crouch,52,88,36,71,1,1,76.0,4/4,1,32,190,28,0,3,0.994,4,0,0,0,0,0,0,,170,2350,536.8
guitarloot:Scores/EnglishMusic/Cutting/01AnneMarkhamPavan.GtrA,guitarloot,Mrs. Ann Markham's Pavan B01,Francis Cutting Cozens Lute Book,7,delcamp-eric-crouch,52,81,29,71,1,1,44.0,2/4,1,64,38,42,0,4,1.0,3,0,0,0,0,0,0,,88,1130,240.0
guitarloot:Scores/EnglishMusic/Cutting/02GalliardGtr,guitarloot,Galliard B02,Francis Cutting,7,delcamp-eric-crouch,40,72,32,59,1,1,72.0,3/4,1,32,64,6,0,3,1.0,4,0,0,0,0,0,0,,48,573,120.0
guitarloot:Scores/EnglishMusic/Cutting/03PavanGtrA,guitarloot,Pavan B03,Francis Cutting,7,delcamp-eric-crouch,52,84,32,71,1,1,40.0,4/4,1,32,66,34,0,3,1.0,4,0,0,0,0,0,0,,38,826,228.0
guitarloot:Scores/EnglishMusic/Cutting/08GalliardGtr,guitarloot,Galliard B08,Francis Cutting,7,delcamp-eric-crouch,52,85,33,71,4,1,72.0,3/4,1,16,59,16,0,4,1.0,3,0,0,0,0,0,0,,48,583,120.0
guitarloot:Scores/EnglishMusic/Cutting/09PavanGtr,guitarloot,Pavan B09,Francis Cutting,7,delcamp-eric-crouch,52,84,32,72.0,0,1,40.0,4/4,1,32,43,20,0,3,1.0,4,0,0,0,0,0,0,,38,832,228.0
guitarloot:Scores/EnglishMusic/Cutting/13SansPerGtrArriPad,guitarloot,Pavan Sans Per B13,Francis Cutting,7,delcamp-eric-crouch,50,86,36,73.0,2,1,40.0,4/4,2,32,43,14,0,3,1.0,4,0,0,0,0,0,0,,40,747,240.0
guitarloot:Scores/EnglishMusic/Cutting/18GroningeGtr.iPad,guitarloot,Groninge Pavan B18,Francis Cutting,7,delcamp-eric-crouch,40,72,32,61,0,1,54.0,4/4,1,32,52,18,0,3,1.0,3,0,0,0,0,0,0,,36,809,160.0
guitarloot:Scores/EnglishMusic/Cutting/22Galliard.Gtr,guitarloot,Galliard B22,Francis Cutting,7,delcamp-eric-crouch,52,83,31,69,1,1,72.0,3/4,1,16,38,24,0,4,1.0,4,0,0,0,0,0,0,,48,544,120.0
guitarloot:Scores/EnglishMusic/Cutting/23GalliardGtr.iPad,guitarloot,Galliard B23,Francis Cutting,7,delcamp-eric-crouch,40,71,31,59,1,1,76.0,3/4,1,16,49,12,0,3,1.0,4,0,0,0,0,0,0,,48,621,113.7
guitarloot:Scores/EnglishMusic/Cutting/27GalliardGtr.iPad,guitarloot,Galliard B27,Francis Cutting,7,delcamp-eric-crouch,52,81,29,69.0,0,1,76.0,3/4,1,32,28,56,0,3,1.0,3,0,0,0,0,0,0,,52,648,123.2
guitarloot:Scores/EnglishMusic/Cutting/32GalliardGtrA,guitarloot,Galliard 32,Francis Cutting,7,delcamp-eric-crouch,52,83,31,71,3,1,72.0,3/4,1,32,53,62,0,3,1.0,3,0,0,0,0,0,0,,52,650,130.0
guitarloot:Scores/EnglishMusic/Cutting/33GallGtrAS,guitarloot,Galliard B33,Francis Cutting,7,delcamp-eric-crouch,50,86,36,74,2,1,76.0,3/4,1,16,53,16,0,3,1.0,4,0,0,0,0,0,0,,48,430,113.7
guitarloot:Scores/EnglishMusic/Cutting/34GallGtrA,guitarloot,Galliard B34,Francis Cutting,7,delcamp-eric-crouch,57,84,27,74,-1,1,72.0,3/4,1,32,48,2,0,2,1.0,3,0,0,0,0,0,0,,48,481,120.0
guitarloot:Scores/EnglishMusic/Cutting/35GallGtr,guitarloot,Sir Walter Raleigh's Galliard B35,Francis Cutting or Richard Allison,7,delcamp-eric-crouch,57,84,27,74.0,-1,1,76.0,3/4,1,16,36,14,0,2,1.0,3,0,0,0,0,0,0,,48,469,113.7
